Gene_ID	COG_ID	COG_term	GO	Pfam_ID	Pfam_term	SwissProt_ID	SwissProt_term
fake_2M_genome_000015	gi|16077786|ref|NP_388600.1|	gi|16077786|ref|NP_388600.1| hypothetical protein BSU07190 [Bacillus subtilis subsp. subtilis str. 168]	-	A0A094JPW3_9BACL/10-46	A0A094JPW3_9BACL/10-46 A0A094JPW3.1 PF10055.8;DUF2292;	sp|O31538|YEZD_BACSU	sp|O31538|YEZD_BACSU Uncharacterized protein YezD OS=Bacillus subtilis (strain 168) GN=yezD PE=4 SV=1
fake_2M_genome_000016	gi|375009790|ref|YP_004983423.1|	gi|375009790|ref|YP_004983423.1| aliphatic sulfonates family ABC transporter [Geobacillus thermoleovorans CCB_US3_UF5]	GO:0042597(periplasmic space);GO:0055085(transmembrane transport);GO:0006790(sulfur compound metabolic process);GO:0006810(transport);GO:0016020(membrane)	A0A094M0Y0_9BACL/53-250	A0A094M0Y0_9BACL/53-250 A0A094M0Y0.1 PF09084.10;NMT1;	sp|P75853|SSUA_ECOLI	sp|P75853|SSUA_ECOLI Putative aliphatic sulfonates-binding protein OS=Escherichia coli (strain K12) GN=ssuA PE=1 SV=2
fake_2M_genome_000017	gi|427716711|ref|YP_007064705.1|	gi|427716711|ref|YP_007064705.1| alkanesulfonate monooxygenase [Calothrix sp. PCC 7507]	GO:0004497(monooxygenase activity);GO:0008726(alkanesulfonate monooxygenase activity);GO:0008726(alkanesulfonate monooxygenase activity)	A0A094JT34_9BACL/1-324	A0A094JT34_9BACL/1-324 A0A094JT34.1 PF00296.19;Bac_luciferase;	sp|Q1C1S2|SSUD_YERPA	sp|Q1C1S2|SSUD_YERPA Alkanesulfonate monooxygenase OS=Yersinia pestis bv. Antiqua (strain Antiqua) GN=ssuD PE=3 SV=1
fake_2M_genome_000018	gi|337747336|ref|YP_004641498.1|	gi|337747336|ref|YP_004641498.1| protein SsuC [Paenibacillus mucilaginosus KNP414]	GO:0005887(integral component of plasma membrane);GO:0006790(sulfur compound metabolic process);GO:0006810(transport);GO:0005886(plasma membrane);GO:0005886(plasma membrane);GO:0005886(plasma membrane)	A0A094JMK9_9BACL/75-250	A0A094JMK9_9BACL/75-250 A0A094JMK9.1 PF00528.21;BPD_transp_1;	sp|P75851|SSUC_ECOLI	sp|P75851|SSUC_ECOLI Putative aliphatic sulfonates transport permease protein SsuC OS=Escherichia coli (strain K12) GN=ssuC PE=1 SV=2
fake_2M_genome_000019	gi|375009788|ref|YP_004983421.1|	gi|375009788|ref|YP_004983421.1| aliphatic sulfonates import ATP-binding protein SsuB [Geobacillus thermoleovorans CCB_US3_UF5]	GO:0000166(nucleotide binding);GO:0005215(transporter activity);GO:0005886(plasma membrane)	A0A0A6VEZ8_9BACI/16-150	A0A0A6VEZ8_9BACI/16-150 A0A0A6VEZ8.1 PF00005.26;ABC_tran;	sp|Q3M5J9|SSUB_ANAVT	sp|Q3M5J9|SSUB_ANAVT Aliphatic sulfonates import ATP-binding protein SsuB OS=Anabaena variabilis (strain ATCC 29413 / PCC 7937) GN=ssuB PE=3 SV=1
fake_2M_genome_000020	gi|449088616|ref|YP_007421057.1|	gi|449088616|ref|YP_007421057.1| MATE efflux [Bacillus thuringiensis serovar kurstaki str. HD73]	GO:0005886(plasma membrane);GO:0005886(plasma membrane);GO:0006855(drug transmembrane transport)	F5SK01_9BACL/323-484	F5SK01_9BACL/323-484 F5SK01.1 PF01554.17;MatE;	sp|O34474|YOEA_BACSU	sp|O34474|YOEA_BACSU Probable multidrug resistance protein YoeA OS=Bacillus subtilis (strain 168) GN=yoeA PE=3 SV=2
fake_2M_genome_000021	-	-	-	-	-	-	-
fake_2M_genome_000022	gi|269836214|ref|YP_003318442.1|	gi|269836214|ref|YP_003318442.1| histidine kinase [Sphaerobacter thermophilus DSM 20745]	GO:0005622(intracellular);GO:0005886(plasma membrane);GO:0000155(phosphorelay sensor kinase activity);GO:0000160(phosphorelay signal transduction system);GO:0004673(protein histidine kinase activity)	A0A094JPW8_9BACL/327-439	A0A094JPW8_9BACL/327-439 A0A094JPW8.1 PF02518.25;HATPase_c;	sp|P23545|PHOR_BACSU	sp|P23545|PHOR_BACSU Alkaline phosphatase synthesis sensor protein PhoR OS=Bacillus subtilis (strain 168) GN=phoR PE=1 SV=1
fake_2M_genome_000023	gi|269836215|ref|YP_003318443.1|	gi|269836215|ref|YP_003318443.1| two component transcriptional regulator, winged helix family [Sphaerobacter thermophilus DSM 20745]	GO:0000160(phosphorelay signal transduction system);GO:0000160(phosphorelay signal transduction system);GO:0005737(cytoplasm)	A0A094M0Y6_9BACL/7-116	A0A094M0Y6_9BACL/7-116 A0A094M0Y6.1 PF00072.23;Response_reg;	sp|P94504|YVRH_BACSU	sp|P94504|YVRH_BACSU Transcriptional regulatory protein YvrH OS=Bacillus subtilis (strain 168) GN=yvrH PE=3 SV=4
fake_2M_genome_000024	-	-	-	-	-	-	-
fake_2M_genome_000025	-	-	-	-	-	-	-
fake_2M_genome_000026	gi|374988842|ref|YP_004964337.1|	gi|374988842|ref|YP_004964337.1| hypothetical protein SBI_06086 [Streptomyces bingchenggensis BCW-1]	-	A0A094K909_9BACL/28-148	A0A094K909_9BACL/28-148 A0A094K909.1 PF12388.7;Peptidase_M57;	-	-
fake_2M_genome_000027	gi|16081128|ref|NP_391956.1|	gi|16081128|ref|NP_391956.1| hypothetical protein BSU40760 [Bacillus subtilis subsp. subtilis str. 168]	GO:0008703(5-amino-6-(5-phosphoribosylamino)uracil reductase activity);GO:0016020(membrane);GO:0016020(membrane)	A0A094JPX5_9BACL/8-181	A0A094JPX5_9BACL/8-181 A0A094JPX5.1 PF01872.16;RibD_C;	sp|P37508|YYAP_BACSU	sp|P37508|YYAP_BACSU Uncharacterized protein YyaP OS=Bacillus subtilis (strain 168) GN=yyaP PE=1 SV=1
fake_2M_genome_000028	gi|482886709|ref|YP_007883882.1|	gi|482886709|ref|YP_007883882.1| methylase involved in ubiquinone/menaquinone biosynthesis [Mannheimia haemolytica M42548]	GO:0008168(methyltransferase activity)	B8F4R3_HAEPS/36-202	B8F4R3_HAEPS/36-202 B8F4R3.1 PF13847.5;Methyltransf_31;	sp|Q57060|Y095_HAEIN	sp|Q57060|Y095_HAEIN Uncharacterized protein HI_0095 OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=HI_0095 PE=4 SV=1
fake_2M_genome_000029	gi|375008502|ref|YP_004982135.1|	gi|375008502|ref|YP_004982135.1| hypothetical protein [Geobacillus thermoleovorans CCB_US3_UF5]	GO:0006508(proteolysis)	A0A094M0Z1_9BACL/1-208	A0A094M0Z1_9BACL/1-208 A0A094M0Z1.1 PF02586.13;SRAP;	sp|O31916|YOQW_BACSU	sp|O31916|YOQW_BACSU Putative SOS response-associated peptidase YoqW OS=Bacillus subtilis (strain 168) GN=yoqW PE=3 SV=1
fake_2M_genome_000030	-	-	-	-	-	-	-
fake_2M_genome_000031	-	-	-	A0A094JT43_9BACL/15-215	A0A094JT43_9BACL/15-215 A0A094JT43.1 PF14094.5;DUF4272;	-	-
fake_2M_genome_000032	-	-	-	A0A094K913_9BACL/11-137	A0A094K913_9BACL/11-137 A0A094K913.1 PF14434.5;Imm6;	-	-
fake_2M_genome_000033	-	-	-	A0A094JPY1_9BACL/12-131	A0A094JPY1_9BACL/12-131 A0A094JPY1.1 PF14434.5;Imm6;	-	-
fake_2M_genome_000034	-	-	-	A0A094K990_9BACL/11-133	A0A094K990_9BACL/11-133 A0A094K990.1 PF14434.5;Imm6;	-	-
fake_2M_genome_000035	-	-	-	A0A094K918_9BACL/33-145	A0A094K918_9BACL/33-145 A0A094K918.1 PF14568.5;SUKH_6;	sp|P40737|YXXD_BACSU	sp|P40737|YXXD_BACSU Antitoxin YxxD OS=Bacillus subtilis (strain 168) GN=yxxD PE=1 SV=1
fake_2M_genome_000036	-	-	-	A0A094JMM6_9BACL/11-135	A0A094JMM6_9BACL/11-135 A0A094JMM6.1 PF14434.5;Imm6;	-	-
fake_2M_genome_000037	-	-	-	A0A094K918_9BACL/33-145	A0A094K918_9BACL/33-145 A0A094K918.1 PF14568.5;SUKH_6;	sp|P40737|YXXD_BACSU	sp|P40737|YXXD_BACSU Antitoxin YxxD OS=Bacillus subtilis (strain 168) GN=yxxD PE=1 SV=1
fake_2M_genome_000038	-	-	-	A0A094JPY8_9BACL/11-137	A0A094JPY8_9BACL/11-137 A0A094JPY8.1 PF14434.5;Imm6;	-	-
fake_2M_genome_000039	gi|386712527|ref|YP_006178849.1|	gi|386712527|ref|YP_006178849.1| topology modulation protein [Halobacillus halophilus DSM 2266]	-	Q9KE44_BACHD/4-175	Q9KE44_BACHD/4-175 Q9KE44.1 PF13671.5;AAA_33;	-	-
fake_2M_genome_000040	-	-	-	-	-	-	-
fake_2M_genome_000041	gi|375009762|ref|YP_004983395.1|	gi|375009762|ref|YP_004983395.1| hypothetical protein [Geobacillus thermoleovorans CCB_US3_UF5]	GO:0008270(zinc ion binding);GO:0016787(hydrolase activity)	A0A094JMN2_9BACL/1-143	A0A094JMN2_9BACL/1-143 A0A094JMN2.1 PF12850.6;Metallophos_2;	sp|P94559|YSNB_BACSU	sp|P94559|YSNB_BACSU Putative metallophosphoesterase YsnB OS=Bacillus subtilis (strain 168) GN=ysnB PE=3 SV=2
fake_2M_genome_000042	gi|226311378|ref|YP_002771272.1|	gi|226311378|ref|YP_002771272.1| nucleoside-triphosphatase [Brevibacillus brevis NBRC 100599]	GO:0000166(nucleotide binding);GO:0009143(nucleoside triphosphate catabolic process)	A0A094K924_9BACL/10-199	A0A094K924_9BACL/10-199 A0A094K924.1 PF01725.15;Ham1p_like;	sp|Q5KWI6|IXTPA_GEOKA	sp|Q5KWI6|IXTPA_GEOKA dITP/XTP pyrophosphatase OS=Geobacillus kaustophilus (strain HTA426) GN=GK2665 PE=3 SV=1
fake_2M_genome_000043	gi|226311377|ref|YP_002771271.1|	gi|226311377|ref|YP_002771271.1| ribonuclease PH [Brevibacillus brevis NBRC 100599]	GO:0000049(tRNA binding);GO:0008033(tRNA processing);GO:0009022(tRNA nucleotidyltransferase activity)	A0A094JPZ3_9BACL/10-143	A0A094JPZ3_9BACL/10-143 A0A094JPZ3.1 PF01138.20;RNase_PH;	sp|C0ZAF8|RNPH_BREBN	sp|C0ZAF8|RNPH_BREBN Ribonuclease PH OS=Brevibacillus brevis (strain 47 / JCM 6285 / NBRC 100599) GN=rph PE=3 SV=1
fake_2M_genome_000044	gi|226311375|ref|YP_002771269.1|	gi|226311375|ref|YP_002771269.1| germination protein [Brevibacillus brevis NBRC 100599]	GO:0030435(sporulation resulting in formation of a cellular spore)	A0A094M107_9BACL/67-178	A0A094M107_9BACL/67-178 A0A094M107.1 PF10646.8;Germane;	sp|P39072|GERM_BACSU	sp|P39072|GERM_BACSU Spore germination protein GerM OS=Bacillus subtilis (strain 168) GN=gerM PE=1 SV=2
fake_2M_genome_000045	gi|212638431|ref|YP_002314951.1|	gi|212638431|ref|YP_002314951.1| glutamate racemase [Anoxybacillus flavithermus WK1]	GO:0008881(glutamate racemase activity);GO:0009252(peptidoglycan biosynthetic process);GO:0006807(nitrogen compound metabolic process);GO:0008360(regulation of cell shape);GO:0008881(glutamate racemase activity)	A0A094JT59_9BACL/10-220	A0A094JT59_9BACL/10-220 A0A094JT59.1 PF01177.21;Asp_Glu_race;	sp|P94556|MURI1_BACSU	sp|P94556|MURI1_BACSU Glutamate racemase 1 OS=Bacillus subtilis (strain 168) GN=racE PE=1 SV=2
fake_2M_genome_000046	gi|15615634|ref|NP_243938.1|	gi|15615634|ref|NP_243938.1| transcriptional regulator [Bacillus halodurans C-125]	GO:0003677(DNA binding);GO:0003700(DNA binding transcription factor activity)	A0A094JMN7_9BACL/39-97	A0A094JMN7_9BACL/39-97 A0A094JMN7.1 PF01047.21;MarR;	sp|P97247|YSMB_BACSU	sp|P97247|YSMB_BACSU Uncharacterized HTH-type transcriptional regulator YsmB OS=Bacillus subtilis (strain 168) GN=ysmB PE=4 SV=1
fake_2M_genome_000047	gi|212639268|ref|YP_002315788.1|	gi|212639268|ref|YP_002315788.1| spermidine synthase [Anoxybacillus flavithermus WK1]	GO:0005737(cytoplasm);GO:0008295(spermidine biosynthetic process);GO:0003824(catalytic activity);GO:0004766(spermidine synthase activity);GO:0005737(cytoplasm)	A0A094K928_9BACL/69-255	A0A094K928_9BACL/69-255 A0A094K928.1 PF01564.16;Spermine_synth;	sp|B0K9I5|SPEE_THEP3	sp|B0K9I5|SPEE_THEP3 Polyamine aminopropyltransferase OS=Thermoanaerobacter pseudethanolicus (strain ATCC 33223 / 39E) GN=speE PE=3 SV=1
fake_2M_genome_000048	-	-	-	-	-	-	-
fake_2M_genome_000049	gi|212640148|ref|YP_002316668.1|	gi|212640148|ref|YP_002316668.1| MarR family transcriptional regulator [Anoxybacillus flavithermus WK1]	GO:0003677(DNA binding);GO:0003700(DNA binding transcription factor activity);GO:0006355(regulation of transcription, DNA-templated)	A0A094M111_9BACL/36-94	A0A094M111_9BACL/36-94 A0A094M111.1 PF01047.21;MarR;	sp|O32181|YUSO_BACSU	sp|O32181|YUSO_BACSU Uncharacterized HTH-type transcriptional regulator YusO OS=Bacillus subtilis (strain 168) GN=yusO PE=1 SV=1
fake_2M_genome_000050	gi|23097992|ref|NP_691458.1|	gi|23097992|ref|NP_691458.1| isopentenyl pyrophosphate isomerase [Oceanobacillus iheyensis HTE831]	GO:0005737(cytoplasm);GO:0055114(oxidation-reduction process);GO:0003824(catalytic activity);GO:0004452(isopentenyl-diphosphate delta-isomerase activity);GO:0005737(cytoplasm)	A0A094JT63_9BACL/131-341	A0A094JT63_9BACL/131-341 A0A094JT63.1 PF01070.17;FMN_dh;	sp|Q8EST0|IDI2_OCEIH	sp|Q8EST0|IDI2_OCEIH Isopentenyl-diphosphate delta-isomerase OS=Oceanobacillus iheyensis (strain DSM 14371 / CIP 107618 / JCM 11309 / KCTC 3954 / HTE831) GN=fni PE=3 SV=1
fake_2M_genome_000051	gi|449090581|ref|YP_007423022.1|	gi|449090581|ref|YP_007423022.1| hypothetical protein HD73_3923 [Bacillus thuringiensis serovar kurstaki str. HD73]	GO:0005886(plasma membrane);GO:0005886(plasma membrane)	A0A094JMP3_9BACL/4-206	A0A094JMP3_9BACL/4-206 A0A094JMP3.1 PF02588.14;YitT_membrane;	sp|P39803|YITT_BACSU	sp|P39803|YITT_BACSU UPF0750 membrane protein YitT OS=Bacillus subtilis (strain 168) GN=yitT PE=3 SV=2
fake_2M_genome_000052	gi|337745016|ref|YP_004639178.1|	gi|337745016|ref|YP_004639178.1| radical SAM protein [Paenibacillus mucilaginosus KNP414]	GO:0003824(catalytic activity);GO:0008168(methyltransferase activity)	A0A094K934_9BACL/370-561	A0A094K934_9BACL/370-561 A0A094K934.1 PF13311.5;DUF4080;	sp|O58549|Y819_PYRHO	sp|O58549|Y819_PYRHO Uncharacterized methyltransferase PH0819 OS=Pyrococcus horikoshii (strain ATCC 700860 / DSM 12428 / JCM 9974 / NBRC 100139 / OT-3) GN=PH0819 PE=3 SV=1
fake_2M_genome_000053	gi|375008458|ref|YP_004982091.1|	gi|375008458|ref|YP_004982091.1| transposase, IS605 OrfB [Geobacillus thermoleovorans CCB_US3_UF5]	-	A0A120HS02_9BACL/142-260	A0A120HS02_9BACL/142-260 A0A120HS02.1 PF01385.18;OrfB_IS605;	-	-
fake_2M_genome_000054	gi|375008683|ref|YP_004982316.1|	gi|375008683|ref|YP_004982316.1| transposase, IS605 OrfB [Geobacillus thermoleovorans CCB_US3_UF5]	-	-	-	-	-
fake_2M_genome_000055	gi|20089796|ref|NP_615871.1|	gi|20089796|ref|NP_615871.1| acetyltransferase (GNAT) family protein [Methanosarcina acetivorans C2A]	GO:0008080(N-acetyltransferase activity);GO:0009507(chloroplast);GO:0009507(chloroplast)	A0A094JQ06_9BACL/11-127	A0A094JQ06_9BACL/11-127 A0A094JQ06.1 PF13673.6;Acetyltransf_10;	sp|Q6B949|YCF52_GRATL	sp|Q6B949|YCF52_GRATL Uncharacterized N-acetyltransferase ycf52 OS=Gracilaria tenuistipitata var. liui GN=ycf52 PE=3 SV=1
fake_2M_genome_000056	gi|291301705|ref|YP_003512983.1|	gi|291301705|ref|YP_003512983.1| protein-L-isoaspartate(D-aspartate) O-methyltransferase [Stackebrandtia nassauensis DSM 44728]	GO:0005737(cytoplasm);GO:0006479(protein methylation);GO:0004719(protein-L-isoaspartate (D-aspartate) O-methyltransferase activity);GO:0004719(protein-L-isoaspartate (D-aspartate) O-methyltransferase activity);GO:0005737(cytoplasm)	D3Q2F7_STANL/3-180	D3Q2F7_STANL/3-180 D3Q2F7.1 PF01135.18;PCMT;	sp|A8AAV7|PIMT_IGNH4	sp|A8AAV7|PIMT_IGNH4 Protein-L-isoaspartate O-methyltransferase OS=Ignicoccus hospitalis (strain KIN4/I / DSM 18386 / JCM 14125) GN=pcm PE=3 SV=1
fake_2M_genome_000057	-	-	-	-	-	-	-
fake_2M_genome_000058	-	-	-	-	-	-	-
fake_2M_genome_000059	gi|375008882|ref|YP_004982515.1|	gi|375008882|ref|YP_004982515.1| S-adenosylmethionine:2- demethylmenaquinonemethyltransferase [Geobacillus thermoleovorans CCB_US3_UF5]	GO:0043086(negative regulation of catalytic activity);GO:0008428(ribonuclease inhibitor activity);GO:0008948(oxaloacetate decarboxylase activity);GO:0016829(lyase activity)	A0A094K938_9BACL/3-150	A0A094K938_9BACL/3-150 A0A094K938.1 PF03737.14;RraA-like;	sp|Q734S7|RRAAH_BACC1	sp|Q734S7|RRAAH_BACC1 Putative 4-hydroxy-4-methyl-2-oxoglutarate aldolase OS=Bacillus cereus (strain ATCC 10987 / NRS 248) GN=BCE_3327 PE=3 SV=1
fake_2M_genome_000060	gi|337747270|ref|YP_004641432.1|	gi|337747270|ref|YP_004641432.1| superoxide dismutase copper/zinc binding protein [Paenibacillus mucilaginosus KNP414]	GO:0016209(antioxidant activity);GO:0019430(removal of superoxide radicals);GO:0005737(cytoplasm);GO:0004784(superoxide dismutase activity);GO:0004784(superoxide dismutase activity);GO:0004784(superoxide dismutase activity)	A0A094JQ12_9BACL/53-192	A0A094JQ12_9BACL/53-192 A0A094JQ12.1 PF00080.19;Sod_Cu;	sp|O66602|SODC2_AQUAE	sp|O66602|SODC2_AQUAE Superoxide dismutase [Cu-Zn] 2 OS=Aquifex aeolicus (strain VF5) GN=sodC2 PE=3 SV=1
fake_2M_genome_000061	gi|30262043|ref|NP_844420.1|	gi|30262043|ref|NP_844420.1| luciferase [Bacillus anthracis str. Ames]	GO:0005829(cytosol);GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen)	A0A094M119_9BACL/1-305	A0A094M119_9BACL/1-305 A0A094M119.1 PF00296.19;Bac_luciferase;	sp|P39606|YWCH_BACSU	sp|P39606|YWCH_BACSU Uncharacterized protein YwcH OS=Bacillus subtilis (strain 168) GN=ywcH PE=4 SV=1
fake_2M_genome_000062	gi|226313514|ref|YP_002773408.1|	gi|226313514|ref|YP_002773408.1| hydroxyethylthiazole kinase [Brevibacillus brevis NBRC 100599]	GO:0009229(thiamine diphosphate biosynthetic process);GO:0000166(nucleotide binding);GO:0004417(hydroxyethylthiazole kinase activity);GO:0004417(hydroxyethylthiazole kinase activity)	A0A094JT72_9BACL/7-255	A0A094JT72_9BACL/7-255 A0A094JT72.1 PF02110.14;HK;	sp|C5D2N0|THIM_GEOSW	sp|C5D2N0|THIM_GEOSW Hydroxyethylthiazole kinase OS=Geobacillus sp. (strain WCH70) GN=thiM PE=3 SV=1
fake_2M_genome_000063	gi|226310415|ref|YP_002770309.1|	gi|226310415|ref|YP_002770309.1| hypothetical protein BBR47_08280 [Brevibacillus brevis NBRC 100599]	GO:0102955(S-adenosylmethionine:2-demethylmenaquinol-7 methyltransferase activity);GO:0008168(methyltransferase activity);GO:0008168(methyltransferase activity);GO:0009234(menaquinone biosynthetic process)	A0A094JMQ4_9BACL/41-146	A0A094JMQ4_9BACL/41-146 A0A094JMQ4.1 PF08241.11;Methyltransf_11;	sp|B0RCZ0|MENG_CLAMS	sp|B0RCZ0|MENG_CLAMS Demethylmenaquinone methyltransferase OS=Clavibacter michiganensis subsp. sepedonicus (strain ATCC 33113 / DSM 20744 / JCM 9667 / LMG 2889 / C-1) GN=menG PE=3 SV=1
fake_2M_genome_000064	-	-	-	-	-	-	-
