Gene_ID	COG_ID	Identity	Align_Length	Mismatch	Gap	Q_start	Q_end	T_start	T_end	E_value	Score	Function
fake_2M_genome_000039	gi|386712527|ref|YP_006178849.1|	50.4	127	62	1	1	126	43	169	5.1e-30	133.7	gi|386712527|ref|YP_006178849.1| topology modulation protein [Halobacillus halophilus DSM 2266]
fake_2M_genome_000041	gi|375009762|ref|YP_004983395.1|	51.6	161	72	3	1	157	1	159	1.4e-37	159.1	gi|375009762|ref|YP_004983395.1| hypothetical protein [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000042	gi|226311378|ref|YP_002771272.1|	51.6	192	92	1	10	201	7	197	2.3e-50	201.8	gi|226311378|ref|YP_002771272.1| nucleoside-triphosphatase [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000043	gi|226311377|ref|YP_002771271.1|	68.1	254	80	1	1	254	1	253	1.3e-90	335.9	gi|226311377|ref|YP_002771271.1| ribonuclease PH [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000044	gi|226311375|ref|YP_002771269.1|	43.5	336	177	7	17	345	18	347	1.5e-62	243	gi|226311375|ref|YP_002771269.1| germination protein [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000045	gi|212638431|ref|YP_002314951.1|	57.4	265	111	2	5	267	13	277	3.4e-81	304.7	gi|212638431|ref|YP_002314951.1| glutamate racemase [Anoxybacillus flavithermus WK1]
fake_2M_genome_000046	gi|15615634|ref|NP_243938.1|	62.7	134	50	0	14	147	8	141	1.7e-39	165.2	gi|15615634|ref|NP_243938.1| transcriptional regulator [Bacillus halodurans C-125]
fake_2M_genome_000047	gi|212639268|ref|YP_002315788.1|	67.9	277	84	2	6	279	38	312	3.4e-113	411	gi|212639268|ref|YP_002315788.1| spermidine synthase [Anoxybacillus flavithermus WK1]
fake_2M_genome_000049	gi|212640148|ref|YP_002316668.1|	41.2	119	70	0	30	148	31	149	6.5e-18	93.6	gi|212640148|ref|YP_002316668.1| MarR family transcriptional regulator [Anoxybacillus flavithermus WK1]
fake_2M_genome_000050	gi|23097992|ref|NP_691458.1|	52.1	336	159	2	7	341	5	339	1.7e-98	362.5	gi|23097992|ref|NP_691458.1| isopentenyl pyrophosphate isomerase [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000051	gi|449090581|ref|YP_007423022.1|	57.5	268	114	0	2	269	11	278	2.8e-83	311.6	gi|449090581|ref|YP_007423022.1| hypothetical protein HD73_3923 [Bacillus thuringiensis serovar kurstaki str. HD73]
fake_2M_genome_000052	gi|337745016|ref|YP_004639178.1|	69.6	578	173	2	3	577	4	581	3.7e-247	857.1	gi|337745016|ref|YP_004639178.1| radical SAM protein [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000053	gi|375008458|ref|YP_004982091.1|	77.2	92	21	0	1	92	168	259	4.1e-31	136.7	gi|375008458|ref|YP_004982091.1| transposase, IS605 OrfB [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000054	gi|375008683|ref|YP_004982316.1|	73.3	116	31	0	16	131	35	150	1.7e-44	181.8	gi|375008683|ref|YP_004982316.1| transposase, IS605 OrfB [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000055	gi|20089796|ref|NP_615871.1|	41.3	126	72	1	6	129	12	137	2.7e-23	111.3	gi|20089796|ref|NP_615871.1| acetyltransferase (GNAT) family protein [Methanosarcina acetivorans C2A]
fake_2M_genome_000056	gi|291301705|ref|YP_003512983.1|	32.4	281	175	5	1	273	1	274	2e-35	152.9	gi|291301705|ref|YP_003512983.1| protein-L-isoaspartate(D-aspartate) O-methyltransferase [Stackebrandtia nassauensis DSM 44728]
fake_2M_genome_000059	gi|375008882|ref|YP_004982515.1|	67.3	156	50	1	1	155	1	156	9.1e-55	216.1	gi|375008882|ref|YP_004982515.1| S-adenosylmethionine:2- demethylmenaquinonemethyltransferase [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000060	gi|337747270|ref|YP_004641432.1|	58.4	137	57	0	57	193	66	202	2.9e-42	174.9	gi|337747270|ref|YP_004641432.1| superoxide dismutase copper/zinc binding protein [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000061	gi|30262043|ref|NP_844420.1|	64.7	331	116	1	3	333	4	333	1.7e-122	442.2	gi|30262043|ref|NP_844420.1| luciferase [Bacillus anthracis str. Ames]
fake_2M_genome_000062	gi|226313514|ref|YP_002773408.1|	57.5	261	108	2	6	265	9	267	5.5e-76	287.3	gi|226313514|ref|YP_002773408.1| hydroxyethylthiazole kinase [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000063	gi|226310415|ref|YP_002770309.1|	52.8	142	67	0	1	142	1	142	2.8e-37	158.3	gi|226310415|ref|YP_002770309.1| hypothetical protein BBR47_08280 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000065	gi|430749016|ref|YP_007211924.1|	42.6	244	129	2	6	238	5	248	5.9e-53	210.7	gi|430749016|ref|YP_007211924.1| arginase family hydrolase [Thermobacillus composti KWC4]
fake_2M_genome_000066	gi|16081087|ref|NP_391915.1|	58.8	459	181	2	18	476	11	461	2.2e-152	542	gi|16081087|ref|NP_391915.1| arginine utilization regulatory protein RocR [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000067	gi|16081086|ref|NP_391914.1|	79.1	397	83	0	1	397	1	397	8.1e-193	676	gi|16081086|ref|NP_391914.1| ornithine aminotransferase [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000068	gi|297617069|ref|YP_003702228.1|	48.9	483	227	3	81	549	245	721	1.6e-125	453	gi|297617069|ref|YP_003702228.1| sigma54 specific transcriptional regulator [Syntrophothermus lipocalidus DSM 12680]
fake_2M_genome_000069	gi|78043397|ref|YP_360564.1|	66.8	377	124	1	6	381	4	380	7.1e-146	520	gi|78043397|ref|YP_360564.1| short-chain specific acyl-CoA dehydrogenase [Carboxydothermus hydrogenoformans Z-2901]
fake_2M_genome_000070	gi|384135667|ref|YP_005518381.1|	82.6	397	69	0	1	397	1	397	3e-195	684.1	gi|384135667|ref|YP_005518381.1| acyl-CoA dehydrogenase [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]
fake_2M_genome_000071	gi|317122180|ref|YP_004102183.1|	56.9	522	214	3	20	535	20	536	4.6e-167	590.9	gi|317122180|ref|YP_004102183.1| AMP-dependent synthetase and ligase [Thermaerobacter marianensis DSM 12885]
fake_2M_genome_000072	gi|226313863|ref|YP_002773757.1|	35.8	151	95	1	7	155	6	156	1.5e-20	102.4	gi|226313863|ref|YP_002773757.1| hypothetical protein BBR47_42760 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000073	gi|317122635|ref|YP_004102638.1|	64.7	249	88	0	1	249	1	249	3.8e-87	324.3	gi|317122635|ref|YP_004102638.1| 3-oxoacyl-(acyl-carrier-protein) reductase [Thermaerobacter marianensis DSM 12885]
fake_2M_genome_000074	gi|384133987|ref|YP_005516701.1|	64.7	133	46	1	4	135	6	138	3.7e-44	180.6	gi|384133987|ref|YP_005516701.1| MaoC domain-containing protein dehydratase [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]
fake_2M_genome_000075	gi|384133986|ref|YP_005516700.1|	58.8	148	61	0	1	148	1	148	2.8e-45	184.5	gi|384133986|ref|YP_005516700.1| MaoC domain-containing protein dehydratase [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]
fake_2M_genome_000076	gi|339627916|ref|YP_004719559.1|	56.4	385	160	3	4	388	3	379	7.9e-124	446.8	gi|339627916|ref|YP_004719559.1| acyl-CoA dehydrogenase [Sulfobacillus acidophilus TPY]
fake_2M_genome_000077	gi|375008721|ref|YP_004982354.1|	53.9	256	109	2	40	286	1	256	3.8e-67	258.1	gi|375008721|ref|YP_004982354.1| 3-oxoacyl-(Acyl carrier protein) reductase-like protein [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000078	gi|337744875|ref|YP_004639037.1|	39.3	135	82	0	1	135	1	135	7e-22	106.7	gi|337744875|ref|YP_004639037.1| superoxide dismutase [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000081	gi|30263452|ref|NP_845829.1|	44.8	397	218	1	12	407	1	397	7.1e-91	337.4	gi|30263452|ref|NP_845829.1| major facilitator family transporter protein [Bacillus anthracis str. Ames]
fake_2M_genome_000085	gi|320159611|ref|YP_004172835.1|	46.4	250	130	4	3	250	5	252	1.2e-56	223	gi|320159611|ref|YP_004172835.1| 3-oxoadipate CoA-transferase [Anaerolinea thermophila UNI-1]
fake_2M_genome_000086	gi|284167397|ref|YP_003405675.1|	48.1	287	143	2	17	303	15	295	5.1e-70	267.7	gi|284167397|ref|YP_003405675.1| 3-oxoadipate CoA-transferase [Haloterrigena turkmenica DSM 5511]
fake_2M_genome_000087	gi|23098561|ref|NP_692027.1|	48.3	211	105	1	6	216	5	211	1.2e-52	209.5	gi|23098561|ref|NP_692027.1| hypothetical protein OB1106 [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000088	gi|226313858|ref|YP_002773752.1|	57.6	144	61	0	1	144	2	145	1.5e-40	168.7	gi|226313858|ref|YP_002773752.1| hypothetical protein BBR47_42710 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000089	gi|307153746|ref|YP_003889130.1|	69.4	144	43	1	1	143	1	144	1.4e-55	218.8	gi|307153746|ref|YP_003889130.1| hypothetical protein Cyan7822_3925 [Cyanothece sp. PCC 7822]
fake_2M_genome_000090	gi|169827255|ref|YP_001697413.1|	60.8	186	72	1	1	186	1	185	2e-64	248.4	gi|169827255|ref|YP_001697413.1| peptide deformylase [Lysinibacillus sphaericus C3-41]
fake_2M_genome_000091	gi|297623683|ref|YP_003705117.1|	49.4	158	72	3	228	383	103	254	1.5e-39	166.8	gi|297623683|ref|YP_003705117.1| Cmr6 family CRISPR-associated RAMP protein [Truepera radiovictrix DSM 17093]
fake_2M_genome_000096	gi|226313500|ref|YP_002773394.1|	55.6	178	79	0	2	179	3	180	8e-50	199.9	gi|226313500|ref|YP_002773394.1| ribosomal-protein-alanine acetyltransferase [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000097	gi|148655941|ref|YP_001276146.1|	59.5	173	70	0	6	178	5	177	2.5e-56	221.5	gi|148655941|ref|YP_001276146.1| phosphate acetyltransferase [Roseiflexus sp. RS-1]
fake_2M_genome_000098	gi|521170526|ref|YP_008157309.1|	46.7	270	135	5	5	265	104	373	6.7e-58	227.3	gi|521170526|ref|YP_008157309.1| hypothetical protein M621_02305 [Serratia plymuthica S13]
fake_2M_genome_000099	gi|23099667|ref|NP_693133.1|	61.9	247	94	0	1	247	1	247	4.1e-81	304.3	gi|23099667|ref|NP_693133.1| transcriptional regulator [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000100	gi|23099668|ref|NP_693134.1|	49.8	317	159	0	1	317	4	320	6.6e-89	330.5	gi|23099668|ref|NP_693134.1| 2-keto-3-deoxygluconate kinase [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000101	gi|326801946|ref|YP_004319765.1|	55.6	207	91	1	1	207	1	206	3.4e-57	224.6	gi|326801946|ref|YP_004319765.1| 2-dehydro-3-deoxyphosphogluconate aldolase [Sphingobacterium sp. 21]
fake_2M_genome_000102	gi|326801947|ref|YP_004319766.1|	79.8	382	77	0	1	382	1	382	8.9e-189	662.5	gi|326801947|ref|YP_004319766.1| galactonate dehydratase [Sphingobacterium sp. 21]
fake_2M_genome_000103	gi|284038847|ref|YP_003388777.1|	65.9	434	147	1	1	434	1	433	1e-164	582.8	gi|284038847|ref|YP_003388777.1| major facilitator superfamily protein [Spirosoma linguale DSM 74]
fake_2M_genome_000104	gi|20091289|ref|NP_617364.1|	52.4	912	399	6	5	882	4	914	4.5e-276	953.7	gi|20091289|ref|NP_617364.1| phosphoenolpyruvate synthase [Methanosarcina acetivorans C2A]
fake_2M_genome_000116	gi|15893627|ref|NP_346976.1|	41.6	178	87	6	355	521	208	379	2.2e-28	130.2	gi|15893627|ref|NP_346976.1| hypothetical protein CA_C0335 [Clostridium acetobutylicum ATCC 824]
fake_2M_genome_000119	gi|169828894|ref|YP_001699052.1|	52.1	497	229	5	2	494	4	495	9.1e-141	503.4	gi|169828894|ref|YP_001699052.1| cobyric acid synthase [Lysinibacillus sphaericus C3-41]
fake_2M_genome_000120	gi|352516610|ref|YP_004885927.1|	65.3	528	182	1	4	531	1	527	5.6e-205	716.8	gi|352516610|ref|YP_004885927.1| putative L-ribulokinase [Tetragenococcus halophilus NBRC 12172]
fake_2M_genome_000121	gi|23100251|ref|NP_693718.1|	81.4	452	83	1	1	452	1	451	7.6e-203	709.5	gi|23100251|ref|NP_693718.1| hypothetical protein OB2796 [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000122	gi|23100252|ref|NP_693719.1|	83.3	474	79	0	1	474	21	494	4.7e-240	833.2	gi|23100252|ref|NP_693719.1| L-arabinose isomerase [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000123	gi|23100253|ref|NP_693720.1|	78.7	230	49	0	1	230	1	230	1.5e-106	388.7	gi|23100253|ref|NP_693720.1| L-ribulose-5-phosphate 4-epimerase [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000124	gi|23100255|ref|NP_693722.1|	77.6	361	80	1	1	360	1	361	1.2e-155	552.4	gi|23100255|ref|NP_693722.1| arabinose operon transcriptional repressor [Oceanobacillus iheyensis HTE831]
fake_2M_genome_000125	gi|226310841|ref|YP_002770735.1|	60.7	450	173	3	7	456	6	451	1e-154	549.7	gi|226310841|ref|YP_002770735.1| cobyrinic acid a,c-diamide synthase [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000126	gi|384136378|ref|YP_005519092.1|	66.9	474	157	0	4	477	10	483	2.2e-200	701.4	gi|384136378|ref|YP_005519092.1| prolyl-tRNA synthetase [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]
fake_2M_genome_000128	gi|269838292|ref|YP_003320520.1|	42	250	139	3	1	247	1	247	1.8e-52	209.1	gi|269838292|ref|YP_003320520.1| metallophosphoesterase [Sphaerobacter thermophilus DSM 20745]
fake_2M_genome_000129	gi|15612856|ref|NP_241159.1|	31.3	115	79	0	1	115	304	418	1.6e-08	62	gi|15612856|ref|NP_241159.1| hypothetical protein BH0293 [Bacillus halodurans C-125]
fake_2M_genome_000130	gi|90023329|ref|YP_529156.1|	65.6	218	75	0	1	218	5	222	3.5e-76	287.7	gi|90023329|ref|YP_529156.1| Endonuclease V [Saccharophagus degradans 2-40]
fake_2M_genome_000131	gi|188586525|ref|YP_001918070.1|	46.1	449	232	3	16	457	124	569	1.5e-113	412.9	gi|188586525|ref|YP_001918070.1| PAS modulated Fis family sigma-54-specific transcriptional regulator [Natranaerobius thermophilus JW/NM-WN-LF]
fake_2M_genome_000132	gi|226313384|ref|YP_002773278.1|	77.1	280	64	0	3	282	5	284	3.4e-137	490.7	gi|226313384|ref|YP_002773278.1| N-acyl homoserine lactonase [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000133	gi|384134688|ref|YP_005517402.1|	68.5	375	117	1	1	374	1	375	5.2e-149	530.4	gi|384134688|ref|YP_005517402.1| alcohol dehydrogenase GroES domain-containing protein [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]
fake_2M_genome_000134	gi|108805690|ref|YP_645627.1|	65.9	472	159	2	10	479	17	488	2.3e-178	628.2	gi|108805690|ref|YP_645627.1| succinate semialdehyde dehydrogenase [Rubrobacter xylanophilus DSM 9941]
fake_2M_genome_000135	gi|337750744|ref|YP_004644906.1|	90.6	64	6	0	1	64	10	73	7.6e-24	112.1	gi|337750744|ref|YP_004644906.1| GerE protein [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000136	gi|337745316|ref|YP_004639478.1|	53.6	390	176	2	10	394	2	391	9.5e-109	396.7	gi|337745316|ref|YP_004639478.1| peptidase M24 [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000137	gi|393199300|ref|YP_006461142.1|	43.6	527	279	9	6	524	5	521	1.6e-124	449.5	gi|393199300|ref|YP_006461142.1| hypothetical protein SSIL_0573 [Solibacillus silvestris StLB046]
fake_2M_genome_000139	gi|384135772|ref|YP_005518486.1|	66.3	104	32	1	5	105	10	113	1.1e-32	142.1	gi|384135772|ref|YP_005518486.1| HxlR family transcriptional regulator [Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1]
fake_2M_genome_000141	gi|375007329|ref|YP_004980961.1|	76.5	514	117	1	30	539	1	514	3.8e-238	827	gi|375007329|ref|YP_004980961.1| Fumarate hydratase class I, aerobic [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000142	gi|408357561|ref|YP_006846092.1|	46.4	302	156	3	1	301	1	297	2.1e-60	235.7	gi|408357561|ref|YP_006846092.1| hypothetical protein AXY_21980 [Amphibacillus xylanus NBRC 15112]
fake_2M_genome_000143	gi|430750901|ref|YP_007213809.1|	76.3	249	59	0	1	249	5	253	1.1e-118	429.1	gi|430750901|ref|YP_007213809.1| succinate dehydrogenase and fumarate reductase iron-sulfur protein [Thermobacillus composti KWC4]
fake_2M_genome_000144	gi|375009770|ref|YP_004983403.1|	82.6	582	100	1	4	585	5	585	1.4e-289	998	gi|375009770|ref|YP_004983403.1| succinate dehydrogenase flavoprotein subunit [Geobacillus thermoleovorans CCB_US3_UF5]
fake_2M_genome_000145	gi|212638426|ref|YP_002314946.1|	57.4	204	84	1	1	204	1	201	3.6e-62	241.1	gi|212638426|ref|YP_002314946.1| Succinate dehydrogenase, cytochrome b subunit [Anoxybacillus flavithermus WK1]
fake_2M_genome_000146	gi|295695303|ref|YP_003588541.1|	52.8	358	156	4	7	352	6	362	3.2e-100	368.2	gi|295695303|ref|YP_003588541.1| homoserine O-acetyltransferase [Kyrpidia tusciae DSM 2912]
fake_2M_genome_000147	gi|337748321|ref|YP_004642483.1|	63.9	327	117	1	4	329	9	335	1.9e-118	428.7	gi|337748321|ref|YP_004642483.1| OppD protein [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000148	gi|16078359|ref|NP_389177.1|	61.1	288	111	1	20	307	34	320	2.4e-99	365.2	gi|16078359|ref|NP_389177.1| dipeptide transport system permease protein DppC [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000149	gi|226312261|ref|YP_002772155.1|	58.5	306	126	1	15	319	3	308	5.5e-99	364	gi|226312261|ref|YP_002772155.1| oligopeptide ABC transporter permease [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000150	gi|226311268|ref|YP_002771162.1|	56.4	406	177	0	1	406	1	406	1.5e-120	436	gi|226311268|ref|YP_002771162.1| aspartokinase 2 [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000151	gi|226310108|ref|YP_002770002.1|	73.8	42	11	0	1	42	1	42	5.6e-10	65.9	gi|226310108|ref|YP_002770002.1| sec-independent protein translocase protein [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000152	gi|337747197|ref|YP_004641359.1|	43.5	515	252	7	3	479	6	519	1.7e-110	402.9	gi|337747197|ref|YP_004641359.1| CrtNb protein [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000153	gi|337747199|ref|YP_004641361.1|	34.7	213	137	2	15	225	13	225	1.5e-30	136.3	gi|337747199|ref|YP_004641361.1| phospholipid/glycerol acyltransferase [Paenibacillus mucilaginosus KNP414]
fake_2M_genome_000154	gi|15927263|ref|NP_374796.1|	29.3	147	102	2	6	152	304	448	5.7e-07	57.4	gi|15927263|ref|NP_374796.1| chromosome replication initiation/membrane attachment protein [Staphylococcus aureus subsp. aureus N315]
fake_2M_genome_000155	gi|255767657|ref|NP_390727.2|	62.1	588	221	2	2	588	4	590	2e-219	765	gi|255767657|ref|NP_390727.2| UvrABC system protein C [Bacillus subtilis subsp. subtilis str. 168]
fake_2M_genome_000157	gi|226311260|ref|YP_002771154.1|	62.6	107	38	1	1	107	1	105	3.2e-35	150.6	gi|226311260|ref|YP_002771154.1| thioredoxin [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000158	gi|449091473|ref|YP_007423914.1|	68.1	323	101	2	1	323	1	321	9.5e-123	443	gi|449091473|ref|YP_007423914.1| Electron transfer flavoprotein subunit alpha [Bacillus thuringiensis serovar kurstaki str. HD73]
fake_2M_genome_000159	gi|212638413|ref|YP_002314933.1|	65.6	259	87	1	1	259	1	257	6.2e-93	343.6	gi|212638413|ref|YP_002314933.1| Electron transfer flavoprotein subunit beta [Anoxybacillus flavithermus WK1]
fake_2M_genome_000160	gi|226311255|ref|YP_002771149.1|	61.1	193	75	0	1	193	1	193	1e-63	246.1	gi|226311255|ref|YP_002771149.1| transcriptional regulator of fatty acid metabolism [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000161	gi|393199978|ref|YP_006461820.1|	57.5	558	235	2	5	561	3	559	6.3e-199	696.8	gi|393199978|ref|YP_006461820.1| acyl-CoA synthetase/AMP-acid ligase II [Solibacillus silvestris StLB046]
fake_2M_genome_000162	gi|167628455|ref|YP_001678954.1|	47.9	495	256	1	3	495	13	507	1.7e-131	472.6	gi|167628455|ref|YP_001678954.1| stage v sporulation protein af [Heliobacterium modesticaldum Ice1]
fake_2M_genome_000164	gi|226313940|ref|YP_002773836.1|	45.9	468	241	4	2	458	3	469	7.4e-113	410.6	gi|226313940|ref|YP_002773836.1| ribosomal RNA small subunit methyltransferase [Brevibacillus brevis NBRC 100599]
fake_2M_genome_000166	gi|212638809|ref|YP_002315329.1|	47.9	309	161	0	3	311	7	315	3.4e-75	285	gi|212638809|ref|YP_002315329.1| hypothetical protein Aflv_0968 [Anoxybacillus flavithermus WK1]
fake_2M_genome_000168	gi|449089259|ref|YP_007421700.1|	57.5	365	153	2	22	384	23	387	4.5e-108	394.4	gi|449089259|ref|YP_007421700.1| alkaline serine protease, subtilase family [Bacillus thuringiensis serovar kurstaki str. HD73]
